model_instance_id,sample_index,batch_size,latency_sec,predicted_class,true_class,correct,exit_id,confidence,remote_compute_time_sec,communication_overhead_sec,communication_overhead_ratio,path,entry_worker_id,terminal_worker_id,assigned_partition_id,worker1_compute_time_sec,worker2_compute_time_sec,worker3_compute_time_sec
model_0,0,1,0.37920594215393066,1,1,1,0,0.9910652041435242,0.2139430046081543,0.16526293754577637,0.43581315368389284,worker1,worker1,worker1,0,0.2139430046081543,0.0,0.0
model_0,1,1,0.41751623153686523,0,0,1,0,0.7974047660827637,0.2656521797180176,0.15186405181884766,0.36373209074971874,worker1,worker1,worker1,0,0.2656521797180176,0.0,0.0
model_0,2,1,0.3283500671386719,9,9,1,0,0.9731802940368652,0.2302238941192627,0.09812617301940918,0.2988462097008423,worker1,worker1,worker1,0,0.2302238941192627,0.0,0.0
model_0,3,1,0.30135202407836914,1,1,1,0,0.9893407225608826,0.21741819381713867,0.08393383026123047,0.27852419613880797,worker1,worker1,worker1,0,0.21741819381713867,0.0,0.0
model_0,4,1,0.4497556686401367,0,7,0,1,0.562134861946106,0.3660149574279785,0.0837407112121582,0.1861915636668978,worker1,worker1,worker1,0,0.3660149574279785,0.0,0.0
model_0,5,1,0.4508798122406006,3,3,1,1,0.9512446522712708,0.3667480945587158,0.08413171768188477,0.18659455446408413,worker1,worker1,worker1,0,0.3667480945587158,0.0,0.0
model_0,6,1,0.30225586891174316,1,1,1,0,0.9993661046028137,0.21806693077087402,0.08418893814086914,0.2785353298315997,worker1,worker1,worker1,0,0.21806693077087402,0.0,0.0
model_0,7,1,0.3003354072570801,9,9,1,0,0.9998910427093506,0.2173776626586914,0.08295774459838867,0.2762169980423879,worker1,worker1,worker1,0,0.2173776626586914,0.0,0.0
model_0,8,1,0.301055908203125,9,9,1,0,0.9687075018882751,0.21854519844055176,0.08251070976257324,0.2740710529650279,worker1,worker1,worker1,0,0.21854519844055176,0.0,0.0
model_0,9,1,0.3711416721343994,0,0,1,0,0.9981057643890381,0.21810221672058105,0.15303945541381836,0.41234780921717423,worker1,worker1,worker1,0,0.21810221672058105,0.0,0.0
model_0,10,1,0.4501795768737793,0,0,1,1,0.9844314455986023,0.36353445053100586,0.08664512634277344,0.19246791901238752,worker1,worker1,worker1,0,0.36353445053100586,0.0,0.0
model_0,11,1,0.2997896671295166,8,8,1,0,0.9213040471076965,0.2162008285522461,0.08358883857727051,0.27882494876368785,worker1,worker1,worker1,0,0.2162008285522461,0.0,0.0
model_0,12,1,0.302854061126709,0,0,1,0,0.9993035793304443,0.21923422813415527,0.08361983299255371,0.27610603166905723,worker1,worker1,worker1,0,0.21923422813415527,0.0,0.0
model_0,13,1,0.2975754737854004,6,6,1,0,0.6889070868492126,0.2152099609375,0.08236551284790039,0.2767886472636489,worker1,worker1,worker1,0,0.2152099609375,0.0,0.0
model_0,14,1,0.301363468170166,9,9,1,0,0.983567476272583,0.21793699264526367,0.08342647552490234,0.27683008836955403,worker1,worker1,worker1,0,0.21793699264526367,0.0,0.0
model_0,15,1,0.30115437507629395,2,2,1,0,0.895853579044342,0.21780061721801758,0.08335375785827637,0.2767808298888557,worker1,worker1,worker1,0,0.21780061721801758,0.0,0.0
model_0,16,1,0.2996864318847656,4,4,1,0,0.9327590465545654,0.2161247730255127,0.08356165885925293,0.2788303038403279,worker1,worker1,worker1,0,0.2161247730255127,0.0,0.0
