model_instance_id,sample_index,batch_size,latency_sec,predicted_class,true_class,correct,exit_id,confidence,protocol_bytes,remote_compute_time_sec,communication_overhead_sec,communication_overhead_ratio,path,worker1_compute_time_sec,worker1_request_bytes,worker1_response_bytes,worker2_compute_time_sec,worker2_request_bytes,worker2_response_bytes,worker3_compute_time_sec,worker3_request_bytes,worker3_response_bytes
model_0,0,1,0.6613500118255615,1,1,1,2,0.5843052268028259,3940626,0.38538265228271484,0.2759673595428467,0.4172788305863615,worker1->worker2->worker3,0.19730138778686523,787818,1050063,0.10150718688964844,1049982,525771,0.08657407760620117,525689,1303
model_0,1,1,0.277163028717041,2,3,0,0,0.883609414100647,789120,0.19228672981262207,0.08487629890441895,0.3062323979403117,worker1,0.19228672981262207,787818,1302,0.0,0,0,0.0,0,0
model_0,2,1,1.4595885276794434,3,2,0,0,0.6129910349845886,789121,0.1864945888519287,1.2730939388275146,0.8722279702016904,worker1,0.1864945888519287,787818,1303,0.0,0,0,0.0,0,0
model_0,3,1,0.46436643600463867,2,2,1,1,0.9225533604621887,2889166,0.2781383991241455,0.18622803688049316,0.4010368158447888,worker1->worker2,0.1836097240447998,787818,1050063,0.0945286750793457,1049982,1303,0.0,0,0
model_0,4,1,0.2752106189727783,9,9,1,0,0.9934256076812744,789121,0.18988847732543945,0.08532214164733887,0.31002488917688986,worker1,0.18988847732543945,787818,1303,0.0,0,0,0.0,0,0
model_0,5,1,0.8688373565673828,9,1,0,1,0.535705029964447,2889165,0.27655935287475586,0.592278003692627,0.6816903062646947,worker1->worker2,0.1854386329650879,787818,1050063,0.09112071990966797,1049982,1302,0.0,0,0
model_0,6,1,1.1335923671722412,4,4,1,0,0.8967424631118774,789121,0.1860654354095459,0.9475269317626953,0.8358621310465523,worker1,0.1860654354095459,787818,1303,0.0,0,0,0.0,0,0
model_0,7,1,0.26805686950683594,2,2,1,0,0.9794088006019592,789121,0.1844639778137207,0.08359289169311523,0.31184760102178044,worker1,0.1844639778137207,787818,1303,0.0,0,0,0.0,0,0
model_0,8,1,0.49454760551452637,3,3,1,0,0.8618904948234558,789121,0.18518948554992676,0.3093581199645996,0.6255375954004347,worker1,0.18518948554992676,787818,1303,0.0,0,0,0.0,0,0
model_0,9,1,0.4760403633117676,5,5,1,1,0.9614838361740112,2889166,0.28524065017700195,0.19079971313476562,0.40080574640223815,worker1->worker2,0.19111895561218262,787818,1050063,0.09412169456481934,1049982,1303,0.0,0,0
