sample_index,batch_size,inference_time_sec,predicted_class,true_class,correct,exit_id,confidence,remote_compute_time_sec,communication_overhead_sec,communication_overhead_ratio,path,worker1_compute_time_sec,worker2_compute_time_sec,worker3_compute_time_sec
0,1,0.3223717212677002,6,6,1,0,0.9707396626472473,0.23149371147155762,0.09087800979614258,0.2819044097254322,worker1,0.23149371147155762,0.0,0.0
1,1,0.30012035369873047,3,3,1,0,0.7487629055976868,0.215529203414917,0.08459115028381348,0.281857425667066,worker1,0.215529203414917,0.0,0.0
2,1,0.29831695556640625,2,2,1,0,0.4965571463108063,0.2156682014465332,0.08264875411987305,0.27705013938262446,worker1,0.2156682014465332,0.0,0.0
3,1,0.9881405830383301,2,3,0,3,0.7667205929756165,0.7922077178955078,0.19593286514282227,0.1982844025496542,worker1->worker2->worker3,0.36262011528015137,0.22824597358703613,0.2013416290283203
4,1,0.2977728843688965,4,7,0,0,0.7769468426704407,0.21536779403686523,0.08240509033203125,0.2767380599703751,worker1,0.21536779403686523,0.0,0.0
5,1,0.29517340660095215,9,9,1,0,0.7588626146316528,0.21291828155517578,0.08225512504577637,0.27866712653073755,worker1,0.21291828155517578,0.0,0.0
6,1,0.4472019672393799,3,3,1,1,0.9999470710754395,0.36445093154907227,0.08275103569030762,0.18504175239017306,worker1,0.36445093154907227,0.0,0.0
7,1,0.44320011138916016,9,9,1,1,0.9329192042350769,0.3600962162017822,0.08310389518737793,0.187508741653738,worker1,0.3600962162017822,0.0,0.0
8,1,0.2967491149902344,1,0,0,0,0.9098419547080994,0.2122821807861328,0.08446693420410156,0.2846408967618362,worker1,0.2122821807861328,0.0,0.0
9,1,0.4419527053833008,6,6,1,1,0.939315915107727,0.3591172695159912,0.08283543586730957,0.1874305437172679,worker1,0.3591172695159912,0.0,0.0
10,1,0.2971065044403076,4,4,1,0,0.8669221997261047,0.2142043113708496,0.08290219306945801,0.2790319021309548,worker1,0.2142043113708496,0.0,0.0
11,1,0.4461350440979004,2,2,1,1,0.9924875497817993,0.36332154273986816,0.08281350135803223,0.18562429124007468,worker1,0.36332154273986816,0.0,0.0
12,1,0.2948267459869385,9,9,1,0,0.9632481336593628,0.2120654582977295,0.08276128768920898,0.28071160034061327,worker1,0.2120654582977295,0.0,0.0
13,1,0.29521727561950684,5,5,1,0,0.978095531463623,0.2123279571533203,0.08288931846618652,0.2807739428265001,worker1,0.2123279571533203,0.0,0.0
14,1,0.447080135345459,2,4,0,1,0.7685492038726807,0.365070104598999,0.08201003074645996,0.18343474527914505,worker1,0.365070104598999,0.0,0.0
15,1,0.9745943546295166,2,2,1,3,0.8602219820022583,0.7944519519805908,0.18014240264892578,0.184838339964944,worker1->worker2->worker3,0.36063432693481445,0.23937773704528809,0.19443988800048828
16,1,0.3007693290710449,3,3,1,0,0.9369903206825256,0.21793007850646973,0.0828392505645752,0.27542452822710417,worker1,0.21793007850646973,0.0,0.0
17,1,0.3017847537994385,3,2,0,0,0.8122947216033936,0.21910500526428223,0.08267974853515625,0.27396926946847666,worker1,0.21910500526428223,0.0,0.0
18,1,0.298494815826416,6,6,1,0,0.8064693808555603,0.21625256538391113,0.08224225044250488,0.27552321206922165,worker1,0.21625256538391113,0.0,0.0
19,1,0.4471001625061035,5,7,0,1,0.5236396193504333,0.36432576179504395,0.08277440071105957,0.18513614543794668,worker1,0.36432576179504395,0.0,0.0
20,1,0.29695987701416016,6,6,1,0,0.8793753981590271,0.21552348136901855,0.0814363956451416,0.2742336657192864,worker1,0.21552348136901855,0.0,0.0
21,1,0.2964508533477783,9,9,1,0,0.9413374066352844,0.21452927589416504,0.08192157745361328,0.27634117604481245,worker1,0.21452927589416504,0.0,0.0
22,1,0.4506371021270752,5,5,1,1,0.9447901248931885,0.36763739585876465,0.08299970626831055,0.1841830285978216,worker1,0.36763739585876465,0.0,0.0
23,1,0.297879695892334,9,9,1,0,0.8507813811302185,0.2154848575592041,0.08239483833312988,0.2766044126851492,worker1,0.2154848575592041,0.0,0.0
24,1,0.44734716415405273,9,9,1,1,0.977421760559082,0.3640620708465576,0.08328509330749512,0.18617552536627743,worker1,0.3640620708465576,0.0,0.0
25,1,0.4460468292236328,4,3,0,1,0.924675703048706,0.363025426864624,0.08302140235900879,0.18612709903915642,worker1,0.363025426864624,0.0,0.0
26,1,0.3074986934661865,2,7,0,0,0.7946581840515137,0.22379183769226074,0.08370685577392578,0.27221857377787667,worker1,0.22379183769226074,0.0,0.0
27,1,0.29919981956481934,9,9,1,0,0.9779329299926758,0.21626925468444824,0.0829305648803711,0.2771745150147219,worker1,0.21626925468444824,0.0,0.0
28,1,0.9646003246307373,9,7,0,3,0.5038859844207764,0.7849290370941162,0.1796712875366211,0.1862650083654096,worker1->worker2->worker3,0.36241674423217773,0.23439741134643555,0.18811488151550293
29,1,0.8984935283660889,4,4,1,3,0.36602291464805603,0.7273824214935303,0.1711111068725586,0.19044222520302875,worker1->worker2->worker3,0.364361047744751,0.20658063888549805,0.15644073486328125
30,1,0.30228304862976074,1,1,1,0,0.6670799255371094,0.21963739395141602,0.08264565467834473,0.27340486028897354,worker1,0.21963739395141602,0.0,0.0
31,1,0.8990035057067871,2,2,1,3,0.3687599003314972,0.7277908325195312,0.17121267318725586,0.19044716967221417,worker1->worker2->worker3,0.3696293830871582,0.19942092895507812,0.15874052047729492
32,1,0.3035104274749756,1,1,1,0,0.9164323210716248,0.22071194648742676,0.08279848098754883,0.27280275566273765,worker1,0.22071194648742676,0.0,0.0
33,1,0.4430365562438965,3,3,1,1,0.6968875527381897,0.36043357849121094,0.08260297775268555,0.18644731814683865,worker1,0.36043357849121094,0.0,0.0
34,1,0.7041699886322021,3,3,1,2,0.84502774477005,0.56477952003479,0.1393904685974121,0.19795002747584817,worker1->worker2,0.36130380630493164,0.2034757137298584,0.0
35,1,0.30586957931518555,6,6,1,0,0.9989795088768005,0.22232627868652344,0.08354330062866211,0.27313373502428073,worker1,0.22232627868652344,0.0,0.0
36,1,0.30350780487060547,6,6,1,0,0.9977337121963501,0.22055983543395996,0.08294796943664551,0.27329764871123735,worker1,0.22055983543395996,0.0,0.0
37,1,0.305666446685791,6,6,1,0,0.904866099357605,0.22270560264587402,0.08296084403991699,0.27140971781307865,worker1,0.22270560264587402,0.0,0.0
38,1,0.3003733158111572,4,4,1,0,0.9871097803115845,0.2182300090789795,0.08214330673217773,0.2734707192959201,worker1,0.2182300090789795,0.0,0.0
39,1,0.3044726848602295,4,4,1,0,0.8925413489341736,0.22098779678344727,0.08348488807678223,0.2741950008261221,worker1,0.22098779678344727,0.0,0.0
40,1,0.9607648849487305,4,0,0,3,0.5618734955787659,0.7816276550292969,0.1791372299194336,0.1864527239970817,worker1->worker2->worker3,0.3729825019836426,0.21185970306396484,0.19678544998168945
41,1,0.30594873428344727,1,1,1,0,0.9983794689178467,0.22344422340393066,0.0825045108795166,0.2696677633680942,worker1,0.22344422340393066,0.0,0.0
42,1,0.30129432678222656,9,9,1,0,0.9998544454574585,0.21832633018493652,0.08296799659729004,0.275371917829899,worker1,0.21832633018493652,0.0,0.0
43,1,0.30037927627563477,9,9,1,0,0.999150276184082,0.21850180625915527,0.08187747001647949,0.2725802892651851,worker1,0.21850180625915527,0.0,0.0
44,1,0.7135665416717529,3,3,1,2,0.8403642177581787,0.5765018463134766,0.13706469535827637,0.1920839716463715,worker1->worker2,0.3746914863586426,0.20181035995483398,0.0
45,1,0.30548739433288574,2,6,0,0,0.9392583966255188,0.22250795364379883,0.08297944068908691,0.27162967188971887,worker1,0.22250795364379883,0.0,0.0
46,1,0.29863953590393066,9,9,1,0,0.9900425672531128,0.21735692024230957,0.0812826156616211,0.272176339330265,worker1,0.21735692024230957,0.0,0.0
47,1,0.3021245002746582,3,5,0,0,0.788222074508667,0.2187058925628662,0.08341860771179199,0.27610672962953026,worker1,0.2187058925628662,0.0,0.0
48,1,0.302384614944458,7,7,1,0,0.9802148342132568,0.21950364112854004,0.08288097381591797,0.2740912391694979,worker1,0.21950364112854004,0.0,0.0
49,1,0.299297571182251,3,3,1,0,0.9102815985679626,0.21764183044433594,0.08165574073791504,0.2728246020018401,worker1,0.21764183044433594,0.0,0.0
50,1,0.2998969554901123,3,6,0,0,0.6956905722618103,0.2176370620727539,0.0822598934173584,0.27429385964563596,worker1,0.2176370620727539,0.0,0.0
51,1,0.3042159080505371,4,7,0,0,0.839023232460022,0.22133803367614746,0.08287787437438965,0.27243109969325396,worker1,0.22133803367614746,0.0,0.0
52,1,0.7389793395996094,7,7,1,2,0.798653781414032,0.6007518768310547,0.1382274627685547,0.1870518637820761,worker1->worker2,0.3765854835510254,0.2241663932800293,0.0
53,1,0.739865779876709,8,8,1,2,0.6980690956115723,0.5970439910888672,0.1428217887878418,0.1930374301290723,worker1->worker2,0.376633882522583,0.22041010856628418,0.0
54,1,0.4523122310638428,6,6,1,1,0.9845801591873169,0.36960721015930176,0.08270502090454102,0.18284940186122758,worker1,0.36960721015930176,0.0,0.0
55,1,0.3014407157897949,2,2,1,0,0.9208905100822449,0.21857619285583496,0.08286452293395996,0.27489492491699186,worker1,0.21857619285583496,0.0,0.0
56,1,0.4532341957092285,4,2,0,1,0.7698593735694885,0.3704490661621094,0.08278512954711914,0.18265420025860046,worker1,0.3704490661621094,0.0,0.0
57,1,0.3019723892211914,0,0,1,0,0.9761949181556702,0.21923565864562988,0.08273673057556152,0.2739877337426297,worker1,0.21923565864562988,0.0,0.0
58,1,0.45105600357055664,6,6,1,1,0.7727493047714233,0.3683645725250244,0.08269143104553223,0.18332852326750415,worker1,0.3683645725250244,0.0,0.0
59,1,0.4521524906158447,5,5,1,1,0.8135985136032104,0.36910057067871094,0.08305191993713379,0.18368121742294216,worker1,0.36910057067871094,0.0,0.0
60,1,0.3017449378967285,4,3,0,0,0.9868161082267761,0.21882987022399902,0.08291506767272949,0.2747852814058043,worker1,0.21882987022399902,0.0,0.0
61,1,0.3024179935455322,3,3,1,0,0.979677140712738,0.21933341026306152,0.0830845832824707,0.2747342587271066,worker1,0.21933341026306152,0.0,0.0
62,1,0.301166296005249,8,8,1,0,0.9811850190162659,0.21821904182434082,0.0829472541809082,0.27542010935865985,worker1,0.21821904182434082,0.0,0.0
63,1,0.3016183376312256,9,1,0,0,0.792637050151825,0.21846461296081543,0.08315372467041016,0.27569187378811916,worker1,0.21846461296081543,0.0,0.0
64,1,0.30231690406799316,9,9,1,0,0.9616509079933167,0.2203359603881836,0.08198094367980957,0.2711755200475706,worker1,0.2203359603881836,0.0,0.0
65,1,0.4502100944519043,0,1,0,1,0.9518104195594788,0.3686699867248535,0.08154010772705078,0.18111568072750459,worker1,0.3686699867248535,0.0,0.0
66,1,0.9508569240570068,5,5,1,3,0.48597028851509094,0.7736735343933105,0.1771833896636963,0.1863407471522746,worker1->worker2->worker3,0.36933445930480957,0.22735142707824707,0.1769876480102539
67,1,0.3067197799682617,8,8,1,0,0.9929681420326233,0.22381973266601562,0.0829000473022461,0.2702794300087992,worker1,0.22381973266601562,0.0,0.0
