model_instance_id,sample_index,batch_size,inference_time_sec,predicted_class,true_class,correct,exit_id,confidence,remote_compute_time_sec,communication_overhead_sec,communication_overhead_ratio,path,entry_worker_id,terminal_worker_id,assigned_partition_id,worker1_compute_time_sec,worker2_compute_time_sec,worker3_compute_time_sec
model_0,0,1,0.40349364280700684,3,3,1,0,0.8228225708007812,0.22386598587036133,0.1796276569366455,0.4451808848511707,worker1,worker1,worker1,0,0.22386598587036133,0.0,0.0
model_0,1,1,0.45130109786987305,7,7,1,1,0.5794918537139893,0.3633096218109131,0.08799147605895996,0.19497288279216904,worker1,worker1,worker1,0,0.3633096218109131,0.0,0.0
model_0,2,1,0.3029155731201172,1,1,1,0,0.9408296346664429,0.21587491035461426,0.08704066276550293,0.28734297767843087,worker1,worker1,worker1,0,0.21587491035461426,0.0,0.0
model_0,3,1,0.3027522563934326,2,6,0,0,0.744478702545166,0.2165389060974121,0.08621335029602051,0.28476534352888366,worker1,worker1,worker1,0,0.2165389060974121,0.0,0.0
model_0,4,1,0.4534027576446533,7,7,1,1,0.8440283536911011,0.3664281368255615,0.0869746208190918,0.1918264045655776,worker1,worker1,worker1,0,0.3664281368255615,0.0,0.0
model_0,5,1,0.301560640335083,4,4,1,0,0.7002601623535156,0.21475744247436523,0.08680319786071777,0.2878465762782082,worker1,worker1,worker1,0,0.21475744247436523,0.0,0.0
model_0,6,1,0.3012821674346924,8,8,1,0,0.943149983882904,0.21497201919555664,0.08631014823913574,0.2864761262640771,worker1,worker1,worker1,0,0.21497201919555664,0.0,0.0
model_0,7,1,0.4477410316467285,4,4,1,1,0.8995826244354248,0.36116528511047363,0.08657574653625488,0.19336120752177094,worker1,worker1,worker1,0,0.36116528511047363,0.0,0.0
model_0,8,1,0.7555296421051025,3,4,0,2,0.6892204284667969,0.6003649234771729,0.1551647186279297,0.20537211246351675,worker1->worker3,worker1,worker3,0,0.3642151355743408,0.0,0.23614978790283203
model_0,9,1,0.30463743209838867,9,9,1,0,0.9741332530975342,0.21533918380737305,0.08929824829101562,0.29312959893311796,worker1,worker1,worker1,0,0.21533918380737305,0.0,0.0
