model_instance_id,sample_index,batch_size,inference_time_sec,predicted_class,true_class,correct,exit_id,confidence,remote_compute_time_sec,communication_overhead_sec,communication_overhead_ratio,path,entry_worker_id,terminal_worker_id,assigned_partition_id,worker1_compute_time_sec,worker2_compute_time_sec,worker3_compute_time_sec
model_0,0,1,0.424135684967041,8,8,1,0,0.9998427629470825,0.24698305130004883,0.1771526336669922,0.4176791530303763,worker1,worker1,worker1,0,0.24698305130004883,0.0,0.0
model_0,1,1,0.3025546073913574,0,0,1,0,0.876817524433136,0.21751999855041504,0.08503460884094238,0.2810554087214718,worker1,worker1,worker1,0,0.21751999855041504,0.0,0.0
model_0,2,1,0.44258642196655273,9,9,1,1,0.9981174468994141,0.36424875259399414,0.0783376693725586,0.17699971233748954,worker1,worker1,worker1,0,0.36424875259399414,0.0,0.0
model_0,3,1,0.4396672248840332,9,1,0,1,0.8564050197601318,0.36055660247802734,0.07911062240600586,0.17993295367165954,worker1,worker1,worker1,0,0.36055660247802734,0.0,0.0
model_0,4,1,0.44233107566833496,5,3,0,1,0.8103145360946655,0.3639822006225586,0.07834887504577637,0.17712722292322794,worker1,worker1,worker1,0,0.3639822006225586,0.0,0.0
model_0,5,1,1.286975383758545,3,6,0,3,0.4100879430770874,1.141369342803955,0.14560604095458984,0.11313817093327376,worker1->worker3->worker3,worker1,worker3,0,0.35842013359069824,0.0,0.7829492092132568
model_0,6,1,0.2959175109863281,4,4,1,0,0.99234539270401,0.2175753116607666,0.07834219932556152,0.264743370760445,worker1,worker1,worker1,0,0.2175753116607666,0.0,0.0
model_0,7,1,0.29221129417419434,1,1,1,0,0.9927621483802795,0.21340727806091309,0.07880401611328125,0.26968162314186334,worker1,worker1,worker1,0,0.21340727806091309,0.0,0.0
model_0,8,1,0.29114747047424316,9,9,1,0,0.5459772348403931,0.2131037712097168,0.07804369926452637,0.2680555635170137,worker1,worker1,worker1,0,0.2131037712097168,0.0,0.0
model_0,9,1,0.29245877265930176,9,9,1,0,0.9312390685081482,0.2141737937927246,0.07828497886657715,0.2676786822113037,worker1,worker1,worker1,0,0.2141737937927246,0.0,0.0
model_0,10,1,0.29343414306640625,1,1,1,0,0.9446596503257751,0.21548962593078613,0.07794451713562012,0.2656286563011882,worker1,worker1,worker1,0,0.21548962593078613,0.0,0.0
model_0,11,1,0.29107165336608887,3,3,1,0,0.979677140712738,0.2132265567779541,0.07784509658813477,0.26744307007534956,worker1,worker1,worker1,0,0.2132265567779541,0.0,0.0
model_0,12,1,0.2953784465789795,2,2,1,0,0.9357549548149109,0.2163088321685791,0.07906961441040039,0.2676891808666833,worker1,worker1,worker1,0,0.2163088321685791,0.0,0.0
model_0,13,1,0.45699620246887207,6,6,1,1,0.9983856678009033,0.3684113025665283,0.08858489990234375,0.19384165431522954,worker1,worker1,worker1,0,0.3684113025665283,0.0,0.0
model_0,14,1,0.4483788013458252,9,1,0,1,0.995694637298584,0.36285901069641113,0.08551979064941406,0.190731119296281,worker1,worker1,worker1,0,0.36285901069641113,0.0,0.0
model_0,15,1,0.4479348659515381,6,6,1,1,0.9540293216705322,0.3633995056152344,0.08453536033630371,0.18872243882316936,worker1,worker1,worker1,0,0.3633995056152344,0.0,0.0
model_0,16,1,0.5235574245452881,9,0,0,1,0.5594884753227234,0.3643524646759033,0.15920495986938477,0.3040830908045187,worker1,worker1,worker1,0,0.3643524646759033,0.0,0.0
model_0,17,1,0.4211893081665039,4,5,0,0,0.8211985230445862,0.2576167583465576,0.1635725498199463,0.38835874189684566,worker1,worker1,worker1,0,0.2576167583465576,0.0,0.0
