sample_index,batch_size,latency_sec,predicted_class,true_class,correct,exit_id,confidence,protocol_bytes,remote_compute_time_sec,path,worker1_compute_time_sec,worker1_request_bytes,worker1_response_bytes,jetson_compute_time_sec,jetson_request_bytes,jetson_response_bytes
0,1,0.2529635429382324,3,3,1,0,0.7493895292282104,789090,0.1714949607849121,worker1,0.1714949607849121,787787,1303,0.0,0,0
1,1,0.45938611030578613,2,2,1,2,0.9459658861160278,1840489,0.30329346656799316,worker1->jetson,0.2581751346588135,787787,525741,0.04511833190917969,525659,1302
2,1,0.25536608695983887,6,6,1,0,0.9346756935119629,789090,0.17396235466003418,worker1,0.17396235466003418,787787,1303,0.0,0,0
3,1,0.33659839630126953,0,0,1,1,0.9652009606361389,789090,0.25495076179504395,worker1,0.25495076179504395,787787,1303,0.0,0,0
4,1,0.25304532051086426,6,6,1,0,0.998955488204956,789089,0.17137718200683594,worker1,0.17137718200683594,787787,1302,0.0,0,0
5,1,0.2507953643798828,8,8,1,0,0.9876603484153748,789090,0.16918087005615234,worker1,0.16918087005615234,787787,1303,0.0,0,0
6,1,0.2514767646789551,9,9,1,0,0.9784038066864014,789090,0.1700587272644043,worker1,0.1700587272644043,787787,1303,0.0,0,0
7,1,0.48860883712768555,2,2,1,3,0.9475926756858826,1840489,0.30747246742248535,worker1->jetson,0.25746917724609375,787787,525741,0.0500032901763916,525659,1302
8,1,0.37158656120300293,4,4,1,1,0.9986476302146912,789090,0.28992486000061035,worker1,0.28992486000061035,787787,1303,0.0,0,0
9,1,0.2514166831970215,4,4,1,0,0.9865603446960449,789090,0.16997170448303223,worker1,0.16997170448303223,787787,1303,0.0,0,0
10,1,0.2521543502807617,5,5,1,0,0.9642555713653564,789096,0.17025089263916016,worker1,0.17025089263916016,787790,1306,0.0,0,0
11,1,0.3356814384460449,4,3,0,1,0.6322436928749084,789096,0.2536618709564209,worker1,0.2536618709564209,787790,1306,0.0,0,0
12,1,0.25116658210754395,2,2,1,0,0.7852222919464111,789096,0.16998076438903809,worker1,0.16998076438903809,787790,1306,0.0,0,0
13,1,0.33777809143066406,3,3,1,1,0.9894395470619202,789096,0.2569093704223633,worker1,0.2569093704223633,787790,1306,0.0,0,0
14,1,0.2505483627319336,1,1,1,0,0.8873195648193359,789096,0.16866779327392578,worker1,0.16866779327392578,787790,1306,0.0,0,0
15,1,0.25139880180358887,6,6,1,0,0.8026208877563477,789096,0.17136430740356445,worker1,0.17136430740356445,787790,1306,0.0,0,0
16,1,0.33217906951904297,8,8,1,1,0.9099181294441223,789096,0.2558174133300781,worker1,0.2558174133300781,787790,1306,0.0,0,0
